
   WARN  Tests\Feature\SkillHubTest
  ! on peut lister les modules dune formation ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                 0.03s  
  ! un formateur peut modifier un module de sa formation ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                      0.02s  
  ! un formateur peut supprimer un module de sa formation ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                     0.03s  
  ! la modification dun module inexistant retourne 404 ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                        0.03s  
  ! un apprenant peut sinscrire a une formation ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                               0.03s  
  ! linscription en double retourne 409 ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                       0.03s  
  ! un formateur ne peut pas sinscrire a une formation ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                        0.02s  
  ! linscription a une formation inexistante retourne 404 ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                     0.03s  
  ! un apprenant peut se desinscrire ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                          0.04s  
  ! un apprenant voit ses formations inscrites ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                0.03s  
  ! un apprenant peut terminer un module ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                      0.04s  
  ! la progression est calculee correctement sur plusieurs modules ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                            0.04s  
  ! terminer un module deja termine retourne un message sans erreur ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                           0.04s  
  ! terminer un module sans etre inscrit retourne 403 ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                         0.04s  
  ! un formateur ne peut pas terminer un module ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                               0.03s  
  ! terminer un module inexistant retourne 404 ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                0.03s  
  ! un formateur voit uniquement ses formations ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                               0.03s  
  ! un apprenant peut voir ses modules termines ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                               0.04s  
  ! linscription echoue si mots de passe differents ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                           0.03s  
  ! messages non lus retourne zero sans messages ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                              0.03s  
  ! messages non lus retourne 401 sans token ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                  0.02s  
  ! messages non lus compte correctement ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                      0.03s  
  ! envoyer message retourne 201 ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                              0.05s  
  ! envoyer message a soi meme retourne 422 ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                   0.02s  
  ! envoyer message sans token retourne 401 ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                   0.02s  
  ! envoyer message destinataire inexistant retourne 422 ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                      0.03s  
  ! conversations retourne liste vide sans messages ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                           0.03s  
  ! conversations retourne 401 sans token ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                     0.02s  
  ! conversations retourne liste avec messages ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                0.02s  
  ! messagerie par conversation retourne messages ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                             0.03s  
  ! messagerie par conversation retourne 401 sans token ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                       0.02s  
  ! messagerie marque messages recus comme lus ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                0.02s  
  ! interlocuteurs formateur retourne apprenants ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                              0.02s  
  ! interlocuteurs apprenant retourne formateurs ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                              0.03s  
  ! interlocuteurs retourne 401 sans token ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                    0.02s  
  ! la liste formations peut etre filtree par recherche ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                       0.02s  
  ! la liste formations peut etre filtree par categorie ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                       0.02s  
  ! la liste formations peut etre filtree par niveau ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                          0.03s  
  ! on peut voir une formation en etant connecte ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                              0.03s  
  ! la mise a jour dune formation inexistante retourne 404 ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                    0.03s  
  ! la suppression dune formation inexistante retourne 404 ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                    0.03s  
  ! un formateur ne peut pas supprimer la formation dun autre ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                 0.04s  
  ! un apprenant ne peut pas acceder aux formations formateur ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                 0.03s  
  ! un formateur ne peut pas ajouter module a formation dun autre ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                             0.03s  
  ! ajout module a formation inexistante retourne 404 ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                         0.02s  
  ! un apprenant ne peut pas modifier un module ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                               0.03s  
  ! un apprenant ne peut pas supprimer un module ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                              0.05s  
  ! un formateur ne peut pas modifier module dun autre ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                        0.08s  
  ! un formateur ne peut pas supprimer module dun autre ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                       0.04s  
  ! un formateur ne peut pas voir ses modules termines ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                        0.03s  
  ! la desinscription sans inscription retourne 404 ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                           0.04s  
  ! un formateur ne peut pas voir ses formations inscrites ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                    0.03s  
  ! un second message ne declenche pas demail ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                 0.05s  
  ! upload photo avec token sans fichier retourne 422 ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                         0.10s  
  ! upload photo avec image valide retourne 200 ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                               0.16s  
  ! les relations du modele user sont accessibles ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                             0.03s  
  ! les relations du modele formation sont accessibles ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                        0.03s  
  ! les relations du modele inscription sont accessibles ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                      0.03s  
  ! les relations du modele module sont accessibles ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                           0.03s  
  ! les relations du modele formation vue sont accessibles ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                    0.03s  
  ! une requete options retourne 200 ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                          0.02s  
  ! une requete avec origin autorisee inclut header cors ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                      0.02s  
  ! la deuxieme vue anonyme ne compte pas ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                     0.03s  
  ! la deuxieme vue authentifiee ne compte pas ΓåÆ Constant DEFAULT_LOCAL_HOST already defined                                                                                0.02s  

  Tests:    81 warnings, 1 passed (135 assertions)
  Duration: 3.76s

